C,W,nolang,en,cs
,,,,
,net.dryuf.comp.forum.form.GuestbookForm,name,Name,Jméno
,net.dryuf.comp.forum.form.GuestbookForm,email,E-Mail,E-mail
,net.dryuf.comp.forum.form.GuestbookForm,webpage,Web page,Web stránky
,net.dryuf.comp.forum.form.GuestbookForm,antispam,Anti-spam,Ochrana proti spamu
,net.dryuf.comp.forum.form.GuestbookForm,content,Message,Vzkaz
,net.dryuf.comp.forum.form.GuestbookForm,add,Add,Přidat
,net.dryuf.comp.forum.form.GuestbookForm,Wrong antispam code,Wrong antispam code,Nesprávný anti-spam kód
,net.dryuf.comp.forum.form.GuestbookForm,captcha,Anti-spam code,Anti-spam kód
,,,,
,net.dryuf.comp.forum.form.SimpleForumForm,add,Add message,Přidat zprávu
,net.dryuf.comp.forum.form.SimpleForumForm,content,Content,Obsah
,net.dryuf.comp.forum.mvp.SimpleForumPresenter,You need to --login-- to post messages.,You need to --login-- to post messages.,Musíte se --přihlásit-- pro posílání zpráv.
,net.dryuf.comp.forum.mvp.SimpleForumPresenter,You need to --login-- to see messages.,You need to --login-- to see messages.,Musíte se –přihlásit-- pro zobrazení zpráv.
,net.dryuf.comp.forum.mvp.SimpleForumPresenter,No comments have been added yet.,No comments have been added yet.,Žádné komentáře nebyly zatím přidány.
,,,,
,net.dryuf.comp.gallery.mvp.GallerySectionRecordPresenter,Next,Next,Další
,net.dryuf.comp.gallery.mvp.GallerySectionRecordPresenter,Previous,Previous,Předchozí
,net.dryuf.comp.gallery.mvp.GallerySectionRecordPresenter,Album,Album,Album
,net.dryuf.comp.gallery.mvp.GallerySectionRecordPresenter,Image,Image,Obrázek
,net.dryuf.comp.gallery.mvp.GalleryPresenter,"Requested gallery not found, please go back to <a href=""../"">gallery list</a>","Requested gallery not found, please go back to <a href=""../"">gallery list</a>","Požadovaná galerie neexistuje, vraťte se prosím do <a href=""../"">seznamu galerií</a>"
,net.dryuf.comp.gallery.mvp.GalleryPresenter,"Requested picture not found, please go back to <a href=""./"">gallery section</a>","Requested picture not found, please go back to <a href=""./"">gallery section</a>","Požadovaný obrázek neexistuje, vraťte se prosím do <a href=""./"">galerie</a>"
,net.dryuf.comp.gallery.mvp.GallerySectionPresenter,Back to gallery,Back to gallery,Zpět do galerie
,net.dryuf.comp.gallery.mvp.GallerySectionPresenter,Image,Image,Obrázek
,,,,
,net.dryuf.comp.gallery.form.GalleryAddForm,title,Title,Název
,net.dryuf.comp.gallery.form.GalleryAddForm,description,Description,Popis
,net.dryuf.comp.gallery.form.GalleryAddForm,picture,Picture,Obrázek
,net.dryuf.comp.gallery.form.GalleryAddForm,add,Add,Přidat
,,,,
,net.dryuf.comp.poll.mvp.PollPresenter,Poll,Poll,Hlasování
,net.dryuf.comp.poll.mvp.PollPresenter,Total votes,Total votes,Počet hlasů
,net.dryuf.comp.poll.mvp.PollPresenter,For polling you need to --login--.,For polling you need to --login--.,Pro hlasování se musíte --přihlásit--.
,,,,
,net.dryuf.comp.rating.mvp.RatingPresenter,Login to rate,Login to rate,Přihlašte se k hodnocení
,net.dryuf.comp.rating.mvp.RatingPresenter,Rate here,Rate here,Hodnoťte
,,,,
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Available,Available,Volné
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Reserve,Reserve,Rezervovat
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Reserved,Reserved,Rezervováno
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Cancel,Cancel,Zrušit
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Name,Name,Název
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Description,Description,Popis
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,State,State,Stav
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Inspiration,Inspiration,Inspirace
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Proposal,Proposal,Návrh
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Proposal according to your ideas.,Proposal according to your ideas.,Návrh podle vašich nápadů.
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,Propose,Propose,Navrhnout
,net.dryuf.comp.wedding.mvp.WeddingGiftsListPresenter,"In case of questions please contact our <a href=""coordinator.html"">gift coordinator</a>.","In case of questions please contact our <a href=""coordinator.html"">gift coordinator</a>.","Máte-li otázky, kontaktujte prosím našeho <a href=""coordinator.html"">dárkového koordinátora</a>."
,,,,
,net.dryuf.comp.wedding.form.WeddingGiftsReserveForm,email,E-mail,E-mail
,net.dryuf.comp.wedding.form.WeddingGiftsReserveForm,emailConfirm,E-mail (confirm),E-mail (ověření)
,net.dryuf.comp.wedding.form.WeddingGiftsReserveForm,reserve,Reserve,Rezervovat
,,,,
,net.dryuf.comp.wedding.mvp.WeddingGiftsReservePresenter,"Your gift has been successfully reserved, we're looking forward to it :-)","Your gift has been successfully reserved, we're looking forward to it :-)","Dárek byl rezervován, těšíme se na něj :-)"
,net.dryuf.comp.wedding.mvp.WeddingGiftsReservePresenter,Your reservation code is %s,Your reservation code is %s,Rezervační kód je %s
,net.dryuf.comp.wedding.mvp.WeddingGiftsReservePresenter,"Please go back to <a href="".."">wedding gifts list</a> and reserve one more :-)","Please go back to <a href="".."">gifts list</a> and reserve one more :-)","Běžte prosím zpátky na <a href="".."">seznam dárků</a> a rezervujte další :-)"
,net.dryuf.comp.wedding.mvp.WeddingGiftsReservePresenter,"Your has gift reservation failed, probably someone reserved in the meantime","Your has gift reservation failed, probably someone reserved in the meantime","Rezervace dárku selhala, nejspíš byl v mezičase rezervován někým jiným"
,net.dryuf.comp.wedding.mvp.WeddingGiftsReservePresenter,"We use your E-mail address only for sending the reservation code, we like surprise :-)","We use your E-mail address only for sending the reservation code, we like surprise :-)","E-mailovou adresu používáme pouze pro odeslání rezervačního kódu, máme rádi překvapení :-)"
,net.dryuf.comp.wedding.mvp.WeddingGiftsReservePresenter,Wedding Gift Reservation,Gift Reservation,Svatební dar – rezervace
